"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2010,"Female",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,6,"Waikato",1
2010,"Total",1,0,0,0,0,0,0,0,1,0,1,1,2,1,2,0,1,10,"Waikato",1
2011,"Male",0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,4,"Waikato",1
2011,"Female",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,"Waikato",1
2011,"Total",0,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,7,"Waikato",1
2012,"Male",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,"Waikato",1
2012,"Female",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,"Waikato",1
2012,"Total",1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,6,"Waikato",1
2013,"Male",0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,5,"Waikato",1
2013,"Female",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,"Waikato",1
2013,"Total",0,0,0,1,0,0,1,0,0,0,3,0,0,0,2,0,0,7,"Waikato",1
2006,"Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,"Bay of Plenty",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bay of Plenty",1
2006,"Total",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,"Bay of Plenty",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,"Bay of Plenty",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bay of Plenty",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,"Bay of Plenty",1
2008,"Male",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,"Bay of Plenty",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,"Bay of Plenty",1
2008,"Total",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,5,"Bay of Plenty",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bay of Plenty",1
2009,"Female",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,"Bay of Plenty",1
2009,"Total",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,"Bay of Plenty",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Bay of Plenty",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bay of Plenty",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Bay of Plenty",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bay of Plenty",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Bay of Plenty",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Bay of Plenty",1
2012,"Male",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Bay of Plenty",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Bay of Plenty",1
2012,"Total",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,"Bay of Plenty",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Bay of Plenty",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,"Bay of Plenty",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,"Bay of Plenty",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gisborne",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,"Hawke's Bay",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,"Hawke's Bay",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Hawke's Bay",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Hawke's Bay",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2009,"Male",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Hawke's Bay",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2009,"Total",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Hawke's Bay",1
2010,"Male",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Hawke's Bay",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2010,"Total",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Hawke's Bay",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hawke's Bay",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Hawke's Bay",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Hawke's Bay",1
